Company Name,Title,Description,Location,Started On,Finished On
Methis Lab S.p.A. (Gruppo AON),Chief Technology Officer & Software Architect,,,Jan 2018,
BDA Euro Brokers s.r.l,Software Development Manager,"Software Development Manager for an Insurance Broker, designing, projecting and implementing B2B Portals dedicated to Insurance market. Principal technologies used: Java 8 Enterprise Edition, Java Server Faces 2.0, EJB,  Oracle MySQL, Oracle Glassfish 4.1. ",,Jun 2017,Dec 2017
Sentosa s.r.l.,Chief Technical Officer & Software Architect ,"Chief Technology Officer & Software Architect for a Company which leads in IT and Financials Consultancy Services, mainly experienced on Employee Loan Programs (“Cessione del quinto”) and Java Enterprise (Insurance and others) Application Development Principal technologies used: Java Enterprise Edition, Java Server Faces, EJB,  Oracle MySQL, Oracle Glassfish 4.1. ",,Feb 2012,May 2017
Arax s.r.l,Software Architect & Developer,"Software Architect & Developer for a Service Company, experiencing on problem solving in Insurance and Finance matters, through Application Development using C#, Java, PHP. Principal technologies used: C#,Java SE, PHP 5, Apache WebServer, MySQL. ",,Jan 2011,Jan 2012
Stachus s.r.l.,Java Software Developer,"Software Developer for a Service Company, working on datawarehouse, and data web presentation.  Principal technologies used: MySQL, PHP, Java, Jasper Reports, Apache WebServer, Tomcat. ",,Jul 2010,Sep 2010
Britto Servizi s.r.l,Project Manager & Software Developer ,"Project Manager and Software Developer for an Insurance Broker, working on Content Management and paperless digitalization, mainly on Microsoft SharePoint 2007. Principal technologies used: Microsoft SharePoint 2007, Java SE.  ",,Jan 2010,May 2010
Eterbit S.r.l,Chief Technical Officer & Senior Java Developer ,"Chief Technical Officer & Senior Java Developer, CMS and ERP development. Principal technologies used: Java SE,Java EE, JSP, Servlet, IBM WebSphere Portal, Struts, Tomcat. ",,Mar 2006,Dec 2009
Macbit S.r.l,Senior Java Developer,"Senior Java Developer, CMS and ERP development. Principal technologies used: Java SE,Java EE, JSP, Servlet, Tomcat, MySQL. ",,Oct 2005,Feb 2006
Text-e S.r.l,Team Leader & Senior Java Developer ,"Team Leader & Senior Java Developer for Text-e S.r.l. Java Development of Web Content Management Systems and Workflow Management Systems. Team Leadership in server side development. Principal technologies used: Java SE,Java EE, JSP, Servlet, Tomcat, MySQL, MS SQLServer. ","Genova, Liguria, Italia",Apr 2003,Jul 2005
Datasys Network,Project Manager & Senior Software Developer,"Project Manager & Senior Java Developer for Datasys Informatia S.p.A., an IBM e-Business Partner, leading B2B and B2C Projects, Java developed, using JSP and Servlet Technologies on IBM Websphere, on IBM Lotus Domino, and on Legacies. Principal technologies used: Java, AS/400 Toolbox for Java, JSP, Servlet, IBM WebSphere Application Server (WAS), IBM DB2 UDB, IBM DB2/400, Lotus Domino, Visual Basic 6, ASP. ",,Apr 2001,Apr 2003
Studio Balbi S.u.r.l (Zucchetti PAC s.r.l),Java Developer ,"Java Developer for Studio Balbi S.u.r.l., Software House and IBM Business Partner in Genoa, projecting and developing Java Applications for HR, mainly attendance and wage packet, focusing on interface to Zucchetti Packages. Principal technologies used: Java, AS/400 Toolbox for Java, Servlet, Tomcat, IBM DB2/400, Microsoft Access, Oracle 8i Database.","Genoa Area, Italy",Feb 1999,Apr 2001
Freelance Software Developer,"C/C++,Pascal Software Developer ","Software Consultancy and Advisory for many websites sited in Genoa. Script Development (JavaScript, VBScript, Java) and HTML page development for many internet sites. Principal technologies used: Java Applet, JavaScript, VBScript, HTML, Borland Turbo C++, Paradox database, Microsoft Access, Turbo Pascal.","Genoa Area, Italy",May 1997,Aug 1998
Comune Di Mignanego,IT Specialist & Education,"Civil service at Social Service Office, Municipality of Mignanego. Not Only did I take care of Social and Minors Problems, but I solved administrative and operating matters, improving and adapting IT services to Administration needs. Principal technologies used: Microsoft Office Automation ","Genova, Liguria, Italia",May 1995,May 1996
